"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.921776003E2,6.098649535E1,2.565722117E1,1.050862908E2,1.176701066E0,3.231068024E2,1.217788422E1,7.769341740E0
1.931776012E2,6.098650177E1,2.565720125E1,1.051661946E2,9.379127228E-1,3.300646491E2,1.192276137E1,7.524430005E0
1.941776001E2,6.098650988E1,2.565715577E1,1.047385780E2,1.261912877E0,3.145716641E2,1.160127940E1,7.432285019E0
1.951776004E2,6.098651780E1,2.565712110E1,1.050823687E2,1.274972838E0,3.116181532E2,1.137061321E1,7.270687103E0
1.961776009E2,6.098652268E1,2.565709011E1,1.047079993E2,1.156225513E0,3.104568093E2,1.110990513E1,7.068721788E0
1.971776017E2,6.098652925E1,2.565705164E1,1.042967585E2,1.429902523E0,3.059218282E2,1.091357640E1,7.070818046E0
1.981776003E2,6.098653472E1,2.565702593E1,1.047676710E2,1.243592027E0,3.058512467E2,1.063782252E1,6.849057407E0
1.991776001E2,6.098653929E1,2.565698999E1,1.049614060E2,1.117793723E0,3.059664597E2,1.046654871E1,6.759205064E0
2.001776003E2,6.098654895E1,2.565694949E1,1.048053882E2,1.256256211E0,3.094208434E2,1.031337418E1,6.684014090E0
2.011776011E2,6.098655562E1,2.565692078E1,1.050448862E2,1.205893847E0,3.116484385E2,1.037690781E1,6.670463875E0
2.021776003E2,6.098655998E1,2.565688601E1,1.056135902E2,1.106029679E0,3.094379965E2,1.016259035E1,6.607134666E0
2.031776015E2,6.098656235E1,2.565686350E1,1.050881326E2,9.413340245E-1,3.052039975E2,1.009520520E1,6.610604094E0
2.041776006E2,6.098657105E1,2.565682722E1,1.051824006E2,1.125011502E0,3.102603162E2,1.008210966E1,6.641981377E0
2.051776010E2,6.098657768E1,2.565678494E1,1.053019738E2,1.256101588E0,3.112485672E2,1.005209497E1,6.615823878E0
2.061776009E2,6.098658329E1,2.565675517E1,1.055197500E2,1.110513888E0,3.141313969E2,9.838626862E0,6.403254485E0
2.071776004E2,6.098659112E1,2.565672301E1,1.053136843E2,1.145738583E0,3.142848465E2,9.690104385E0,6.322849513E0
2.081776010E2,6.098659849E1,2.565669965E1,1.054278975E2,1.096248322E0,3.163883359E2,9.495581109E0,6.243945044E0
